0,1,2
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 2.892491401951247e-08}","{'label': 'Negative', 'score': 1.5625026605903258e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 4.636030226379262e-09}","{'label': 'Negative', 'score': 3.4330569498308705e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.359409106451494e-08}","{'label': 'Negative', 'score': 2.6100586136834636e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 6.833011934048727e-09}","{'label': 'Neutral', 'score': 2.0381936138846868e-09}"
"{'label': 'Negative', 'score': 0.9999767541885376}","{'label': 'Positive', 'score': 2.2732525394530967e-05}","{'label': 'Neutral', 'score': 5.200678856454033e-07}"
"{'label': 'Positive', 'score': 0.999997615814209}","{'label': 'Neutral', 'score': 2.254272658319678e-06}","{'label': 'Negative', 'score': 1.5496809169235348e-07}"
"{'label': 'Positive', 'score': 0.9999901056289673}","{'label': 'Neutral', 'score': 9.531534487905446e-06}","{'label': 'Negative', 'score': 3.545087565726135e-07}"
"{'label': 'Negative', 'score': 0.9886194467544556}","{'label': 'Neutral', 'score': 0.01110422145575285}","{'label': 'Positive', 'score': 0.0002762906369753182}"
"{'label': 'Neutral', 'score': 0.9999920129776001}","{'label': 'Negative', 'score': 7.673849722777959e-06}","{'label': 'Positive', 'score': 3.609379461977369e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 2.1159982210861017e-08}","{'label': 'Negative', 'score': 3.011651816819949e-09}"
"{'label': 'Positive', 'score': 0.9996558427810669}","{'label': 'Neutral', 'score': 0.00034404860343784094}","{'label': 'Negative', 'score': 8.640813575766515e-08}"
"{'label': 'Neutral', 'score': 0.9852129817008972}","{'label': 'Positive', 'score': 0.014525054022669792}","{'label': 'Negative', 'score': 0.0002619348815642297}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.0880514145792404e-08}","{'label': 'Negative', 'score': 2.3590351894142714e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 2.348248884231907e-08}","{'label': 'Negative', 'score': 2.7927913315295427e-09}"
"{'label': 'Neutral', 'score': 0.9999967813491821}","{'label': 'Negative', 'score': 3.1849060633248882e-06}","{'label': 'Positive', 'score': 3.856082031461483e-08}"
"{'label': 'Positive', 'score': 0.9999984502792358}","{'label': 'Neutral', 'score': 1.4984532299422426e-06}","{'label': 'Negative', 'score': 1.58964486018931e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 9.681225598967558e-09}","{'label': 'Neutral', 'score': 4.6155321231644564e-10}"
"{'label': 'Negative', 'score': 0.9999493360519409}","{'label': 'Positive', 'score': 3.4474371204851195e-05}","{'label': 'Neutral', 'score': 1.623784555704333e-05}"
"{'label': 'Negative', 'score': 0.997569739818573}","{'label': 'Positive', 'score': 0.0020880314987152815}","{'label': 'Neutral', 'score': 0.00034222134854644537}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.30238236756486e-09}","{'label': 'Negative', 'score': 9.281880264389031e-10}"
"{'label': 'Positive', 'score': 0.9974732995033264}","{'label': 'Negative', 'score': 0.002463472541421652}","{'label': 'Neutral', 'score': 6.328617746476084e-05}"
"{'label': 'Positive', 'score': 0.9999996423721313}","{'label': 'Neutral', 'score': 2.78528176522741e-07}","{'label': 'Negative', 'score': 1.3065788095900643e-07}"
"{'label': 'Positive', 'score': 0.9962550401687622}","{'label': 'Neutral', 'score': 0.003196113044396043}","{'label': 'Negative', 'score': 0.0005488340393640101}"
"{'label': 'Neutral', 'score': 0.9035539031028748}","{'label': 'Positive', 'score': 0.056045129895210266}","{'label': 'Negative', 'score': 0.0404009148478508}"
"{'label': 'Positive', 'score': 0.7073002457618713}","{'label': 'Neutral', 'score': 0.2926507592201233}","{'label': 'Negative', 'score': 4.9013255193131045e-05}"
"{'label': 'Negative', 'score': 0.9999902248382568}","{'label': 'Positive', 'score': 5.681772563548293e-06}","{'label': 'Neutral', 'score': 4.1182825043506455e-06}"
"{'label': 'Positive', 'score': 0.9778412580490112}","{'label': 'Neutral', 'score': 0.021221794188022614}","{'label': 'Negative', 'score': 0.0009369392646476626}"
"{'label': 'Neutral', 'score': 0.9993770718574524}","{'label': 'Negative', 'score': 0.0003392241196706891}","{'label': 'Positive', 'score': 0.0002837481442838907}"
"{'label': 'Positive', 'score': 0.9999983310699463}","{'label': 'Neutral', 'score': 1.6767017996244249e-06}","{'label': 'Negative', 'score': 3.902158152158108e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 5.624274823645692e-09}","{'label': 'Neutral', 'score': 2.611004745745049e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 2.3740357235624288e-08}","{'label': 'Neutral', 'score': 2.015037026126265e-08}"
"{'label': 'Negative', 'score': 0.5394598841667175}","{'label': 'Neutral', 'score': 0.4604988098144531}","{'label': 'Positive', 'score': 4.125329360249452e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 6.624247372855052e-09}","{'label': 'Neutral', 'score': 5.931564572847492e-09}"
"{'label': 'Neutral', 'score': 0.9999856948852539}","{'label': 'Positive', 'score': 8.179382348316722e-06}","{'label': 'Negative', 'score': 6.056504844309529e-06}"
"{'label': 'Negative', 'score': 0.9995445609092712}","{'label': 'Neutral', 'score': 0.000455064931884408}","{'label': 'Positive', 'score': 3.1262194966075185e-07}"
"{'label': 'Negative', 'score': 0.9999979734420776}","{'label': 'Neutral', 'score': 1.3497619875124656e-06}","{'label': 'Positive', 'score': 6.87790645770292e-07}"
"{'label': 'Positive', 'score': 0.9999992847442627}","{'label': 'Neutral', 'score': 5.433070100480109e-07}","{'label': 'Negative', 'score': 6.257491236283386e-08}"
"{'label': 'Positive', 'score': 0.7358078360557556}","{'label': 'Negative', 'score': 0.26404839754104614}","{'label': 'Neutral', 'score': 0.00014374192687682807}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 4.057431279846924e-09}","{'label': 'Negative', 'score': 3.08874525956071e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 8.188814959453339e-09}","{'label': 'Negative', 'score': 1.5978479650513577e-09}"
"{'label': 'Positive', 'score': 0.8678123354911804}","{'label': 'Neutral', 'score': 0.0731351301074028}","{'label': 'Negative', 'score': 0.05905253812670708}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 3.7049765921892686e-08}","{'label': 'Neutral', 'score': 2.352709671527009e-08}"
"{'label': 'Positive', 'score': 0.999994158744812}","{'label': 'Negative', 'score': 3.0779810913372785e-06}","{'label': 'Neutral', 'score': 2.7384226086724084e-06}"
"{'label': 'Neutral', 'score': 0.9999982118606567}","{'label': 'Negative', 'score': 1.6482620139868231e-06}","{'label': 'Positive', 'score': 6.892153692206193e-08}"
"{'label': 'Positive', 'score': 0.9999980926513672}","{'label': 'Neutral', 'score': 1.9587057522585383e-06}","{'label': 'Negative', 'score': 4.9940222623945374e-08}"
"{'label': 'Positive', 'score': 0.9999998807907104}","{'label': 'Neutral', 'score': 1.3411657562301116e-07}","{'label': 'Negative', 'score': 4.100463613099237e-08}"
"{'label': 'Positive', 'score': 0.9999841451644897}","{'label': 'Neutral', 'score': 1.5058818462421186e-05}","{'label': 'Negative', 'score': 8.801126227808709e-07}"
"{'label': 'Neutral', 'score': 0.999755322933197}","{'label': 'Negative', 'score': 0.0002375615731580183}","{'label': 'Positive', 'score': 7.193892997747753e-06}"
"{'label': 'Positive', 'score': 0.9838618636131287}","{'label': 'Neutral', 'score': 0.01613725535571575}","{'label': 'Negative', 'score': 7.67097105836001e-07}"
"{'label': 'Neutral', 'score': 0.9999873638153076}","{'label': 'Positive', 'score': 1.0141865459445398e-05}","{'label': 'Negative', 'score': 2.504505573597271e-06}"
"{'label': 'Negative', 'score': 0.9998615980148315}","{'label': 'Neutral', 'score': 0.00013807408686261624}","{'label': 'Positive', 'score': 3.136512134460645e-07}"
"{'label': 'Negative', 'score': 0.9999774694442749}","{'label': 'Positive', 'score': 2.13259227166418e-05}","{'label': 'Neutral', 'score': 1.1505816246426548e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 4.515018137141169e-09}","{'label': 'Neutral', 'score': 7.501658183528548e-10}"
"{'label': 'Neutral', 'score': 0.9998117089271545}","{'label': 'Negative', 'score': 0.00017775646119844168}","{'label': 'Positive', 'score': 1.062767842086032e-05}"
"{'label': 'Negative', 'score': 0.8206114768981934}","{'label': 'Neutral', 'score': 0.17938023805618286}","{'label': 'Positive', 'score': 8.311032615893055e-06}"
"{'label': 'Positive', 'score': 0.5744317770004272}","{'label': 'Neutral', 'score': 0.3011387586593628}","{'label': 'Negative', 'score': 0.12442938983440399}"
"{'label': 'Neutral', 'score': 0.9999934434890747}","{'label': 'Negative', 'score': 5.030850843468215e-06}","{'label': 'Positive', 'score': 1.5288600252461038e-06}"
"{'label': 'Positive', 'score': 0.9999963045120239}","{'label': 'Negative', 'score': 3.6845785871264525e-06}","{'label': 'Neutral', 'score': 9.786997878791226e-09}"
"{'label': 'Negative', 'score': 0.9961298704147339}","{'label': 'Neutral', 'score': 0.003867038059979677}","{'label': 'Positive', 'score': 3.0965127280069282e-06}"
"{'label': 'Positive', 'score': 0.6760480403900146}","{'label': 'Negative', 'score': 0.27086377143859863}","{'label': 'Neutral', 'score': 0.0530882328748703}"
"{'label': 'Positive', 'score': 0.9999995231628418}","{'label': 'Neutral', 'score': 4.98904853429849e-07}","{'label': 'Negative', 'score': 2.4336916482070592e-08}"
"{'label': 'Negative', 'score': 0.9999748468399048}","{'label': 'Neutral', 'score': 2.483116440998856e-05}","{'label': 'Positive', 'score': 3.7486393011931796e-07}"
"{'label': 'Positive', 'score': 0.9994401335716248}","{'label': 'Neutral', 'score': 0.0005015792557969689}","{'label': 'Negative', 'score': 5.823103492730297e-05}"
"{'label': 'Positive', 'score': 0.9939224123954773}","{'label': 'Neutral', 'score': 0.006007988937199116}","{'label': 'Negative', 'score': 6.950789975235239e-05}"
"{'label': 'Positive', 'score': 0.9999812841415405}","{'label': 'Neutral', 'score': 1.852677814895287e-05}","{'label': 'Negative', 'score': 2.0011810875075753e-07}"
"{'label': 'Negative', 'score': 0.9999992847442627}","{'label': 'Positive', 'score': 4.454764450656512e-07}","{'label': 'Neutral', 'score': 2.747860889940057e-07}"
"{'label': 'Neutral', 'score': 0.9823294281959534}","{'label': 'Positive', 'score': 0.017647797241806984}","{'label': 'Negative', 'score': 2.278407191624865e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 1.2423093664892804e-08}","{'label': 'Neutral', 'score': 2.669193532867098e-09}"
"{'label': 'Neutral', 'score': 0.9999637603759766}","{'label': 'Negative', 'score': 3.545224535628222e-05}","{'label': 'Positive', 'score': 7.749775932097691e-07}"
"{'label': 'Neutral', 'score': 0.9773805737495422}","{'label': 'Negative', 'score': 0.022170573472976685}","{'label': 'Positive', 'score': 0.0004489002749323845}"
"{'label': 'Positive', 'score': 0.9999994039535522}","{'label': 'Negative', 'score': 5.691040314559359e-07}","{'label': 'Neutral', 'score': 5.86954929104877e-09}"
"{'label': 'Neutral', 'score': 0.9998267292976379}","{'label': 'Negative', 'score': 0.0001720277068670839}","{'label': 'Positive', 'score': 1.365744651593559e-06}"
"{'label': 'Positive', 'score': 0.9974973797798157}","{'label': 'Neutral', 'score': 0.0022585217375308275}","{'label': 'Negative', 'score': 0.0002441349352011457}"
"{'label': 'Positive', 'score': 0.9865971207618713}","{'label': 'Neutral', 'score': 0.013399790972471237}","{'label': 'Negative', 'score': 3.0263429380283924e-06}"
"{'label': 'Neutral', 'score': 0.9988992214202881}","{'label': 'Negative', 'score': 0.0007211001357063651}","{'label': 'Positive', 'score': 0.00037967428215779364}"
"{'label': 'Negative', 'score': 0.9999980926513672}","{'label': 'Neutral', 'score': 1.0589525345494621e-06}","{'label': 'Positive', 'score': 8.133244477903645e-07}"
"{'label': 'Positive', 'score': 0.9999994039535522}","{'label': 'Negative', 'score': 3.4445463370502694e-07}","{'label': 'Neutral', 'score': 1.9623082891939703e-07}"
"{'label': 'Positive', 'score': 0.9999997615814209}","{'label': 'Neutral', 'score': 2.830758205618622e-07}","{'label': 'Negative', 'score': 3.897694966781273e-08}"
"{'label': 'Neutral', 'score': 0.9999949932098389}","{'label': 'Negative', 'score': 5.022459845349658e-06}","{'label': 'Positive', 'score': 5.523077817315425e-08}"
"{'label': 'Positive', 'score': 0.9999997615814209}","{'label': 'Neutral', 'score': 1.25251801819104e-07}","{'label': 'Negative', 'score': 8.412673224711398e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 5.722899487636823e-09}","{'label': 'Negative', 'score': 5.4848894315284724e-09}"
"{'label': 'Neutral', 'score': 0.9996254444122314}","{'label': 'Negative', 'score': 0.0003730021126102656}","{'label': 'Positive', 'score': 1.4916732880010386e-06}"
"{'label': 'Neutral', 'score': 0.9990978240966797}","{'label': 'Positive', 'score': 0.0008658075239509344}","{'label': 'Negative', 'score': 3.6397392250364646e-05}"
"{'label': 'Positive', 'score': 0.703865647315979}","{'label': 'Neutral', 'score': 0.22747819125652313}","{'label': 'Negative', 'score': 0.06865616142749786}"
"{'label': 'Neutral', 'score': 0.9998019337654114}","{'label': 'Negative', 'score': 0.0001945030380738899}","{'label': 'Positive', 'score': 3.566465466064983e-06}"
"{'label': 'Positive', 'score': 0.9373749494552612}","{'label': 'Negative', 'score': 0.03886793553829193}","{'label': 'Neutral', 'score': 0.023757100105285645}"
"{'label': 'Neutral', 'score': 0.9985167384147644}","{'label': 'Positive', 'score': 0.0013868537498638034}","{'label': 'Negative', 'score': 9.636069444241002e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 6.437669952674696e-09}","{'label': 'Negative', 'score': 4.3796046789168486e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 1.6941722469354659e-09}","{'label': 'Neutral', 'score': 8.31993862693281e-10}"
"{'label': 'Positive', 'score': 0.9999927282333374}","{'label': 'Neutral', 'score': 7.1790545916883275e-06}","{'label': 'Negative', 'score': 6.830111232147829e-08}"
"{'label': 'Neutral', 'score': 0.9994496703147888}","{'label': 'Positive', 'score': 0.0005015390925109386}","{'label': 'Negative', 'score': 4.877426545135677e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 2.994132941580574e-08}","{'label': 'Negative', 'score': 3.7248566453484955e-09}"
"{'label': 'Positive', 'score': 0.9984111785888672}","{'label': 'Neutral', 'score': 0.0015256594633683562}","{'label': 'Negative', 'score': 6.307832518359646e-05}"
"{'label': 'Neutral', 'score': 0.9997727274894714}","{'label': 'Positive', 'score': 0.00021244010713417083}","{'label': 'Negative', 'score': 1.4889515114191454e-05}"
"{'label': 'Positive', 'score': 0.9999994039535522}","{'label': 'Negative', 'score': 5.287773205964186e-07}","{'label': 'Neutral', 'score': 6.652786055383331e-08}"
"{'label': 'Positive', 'score': 0.9999979734420776}","{'label': 'Neutral', 'score': 1.7385137880410184e-06}","{'label': 'Negative', 'score': 1.811465750733987e-07}"
"{'label': 'Positive', 'score': 0.9976281523704529}","{'label': 'Neutral', 'score': 0.001668555778451264}","{'label': 'Negative', 'score': 0.0007032754365354776}"
"{'label': 'Negative', 'score': 0.9999061822891235}","{'label': 'Neutral', 'score': 7.346538768615574e-05}","{'label': 'Positive', 'score': 2.031895382970106e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 2.1152636975330097e-08}","{'label': 'Negative', 'score': 1.192631771118613e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 5.568236538522342e-09}","{'label': 'Negative', 'score': 3.5773666251515124e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 1.6570183447583986e-08}","{'label': 'Neutral', 'score': 9.874318251945624e-09}"
"{'label': 'Negative', 'score': 0.9999765157699585}","{'label': 'Neutral', 'score': 2.297551509400364e-05}","{'label': 'Positive', 'score': 5.363488639886782e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 7.679246127878514e-10}","{'label': 'Neutral', 'score': 5.020415749790175e-10}"
"{'label': 'Neutral', 'score': 0.9999518394470215}","{'label': 'Negative', 'score': 4.256629108567722e-05}","{'label': 'Positive', 'score': 5.569335826294264e-06}"
"{'label': 'Negative', 'score': 0.9983226656913757}","{'label': 'Neutral', 'score': 0.001599384588189423}","{'label': 'Positive', 'score': 7.798067963449284e-05}"
"{'label': 'Negative', 'score': 0.9999995231628418}","{'label': 'Positive', 'score': 4.5326618192120804e-07}","{'label': 'Neutral', 'score': 3.092205247412494e-08}"
"{'label': 'Positive', 'score': 0.7729366421699524}","{'label': 'Negative', 'score': 0.1499195545911789}","{'label': 'Neutral', 'score': 0.07714372873306274}"
"{'label': 'Negative', 'score': 0.5537776947021484}","{'label': 'Positive', 'score': 0.44621074199676514}","{'label': 'Neutral', 'score': 1.160194369731471e-05}"
"{'label': 'Neutral', 'score': 0.9984307885169983}","{'label': 'Positive', 'score': 0.0013360128505155444}","{'label': 'Negative', 'score': 0.0002331133437110111}"
"{'label': 'Neutral', 'score': 0.9912007451057434}","{'label': 'Positive', 'score': 0.007657937239855528}","{'label': 'Negative', 'score': 0.001141315558925271}"
"{'label': 'Positive', 'score': 0.9987475872039795}","{'label': 'Negative', 'score': 0.0012409858172759414}","{'label': 'Neutral', 'score': 1.1449586963863112e-05}"
"{'label': 'Negative', 'score': 0.9999991655349731}","{'label': 'Positive', 'score': 4.5107370283403725e-07}","{'label': 'Neutral', 'score': 3.4299682738492265e-07}"
"{'label': 'Positive', 'score': 0.8039893507957458}","{'label': 'Neutral', 'score': 0.19297567009925842}","{'label': 'Negative', 'score': 0.00303495186381042}"
"{'label': 'Neutral', 'score': 0.9999990463256836}","{'label': 'Negative', 'score': 9.236181881533412e-07}","{'label': 'Positive', 'score': 5.276404735354845e-08}"
"{'label': 'Positive', 'score': 0.9999953508377075}","{'label': 'Neutral', 'score': 4.594059646478854e-06}","{'label': 'Negative', 'score': 1.5132444630694408e-08}"
"{'label': 'Neutral', 'score': 0.9999961853027344}","{'label': 'Negative', 'score': 3.521144208207261e-06}","{'label': 'Positive', 'score': 2.073110039191306e-07}"
"{'label': 'Neutral', 'score': 0.9992241859436035}","{'label': 'Positive', 'score': 0.0007664302247576416}","{'label': 'Negative', 'score': 9.376351044920739e-06}"
"{'label': 'Negative', 'score': 0.9985041618347168}","{'label': 'Positive', 'score': 0.0014212027890607715}","{'label': 'Neutral', 'score': 7.468998956028372e-05}"
"{'label': 'Negative', 'score': 0.7398220896720886}","{'label': 'Neutral', 'score': 0.19977854192256927}","{'label': 'Positive', 'score': 0.060399364680051804}"
"{'label': 'Neutral', 'score': 0.999977707862854}","{'label': 'Negative', 'score': 1.2449046153051313e-05}","{'label': 'Positive', 'score': 9.925662197929341e-06}"
"{'label': 'Neutral', 'score': 0.9864535927772522}","{'label': 'Positive', 'score': 0.01346929557621479}","{'label': 'Negative', 'score': 7.719404675299302e-05}"
"{'label': 'Neutral', 'score': 0.9995453953742981}","{'label': 'Negative', 'score': 0.0004510581202339381}","{'label': 'Positive', 'score': 3.582657882361673e-06}"
"{'label': 'Neutral', 'score': 0.999993085861206}","{'label': 'Negative', 'score': 6.81785968481563e-06}","{'label': 'Positive', 'score': 1.2689147865785344e-07}"
"{'label': 'Positive', 'score': 0.9999998807907104}","{'label': 'Negative', 'score': 1.2460047571494215e-07}","{'label': 'Neutral', 'score': 2.172127011590419e-08}"
"{'label': 'Negative', 'score': 0.9990222454071045}","{'label': 'Positive', 'score': 0.000520500703714788}","{'label': 'Neutral', 'score': 0.0004572537145577371}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.260386627346179e-09}","{'label': 'Negative', 'score': 3.1495328567388015e-09}"
"{'label': 'Negative', 'score': 0.999762237071991}","{'label': 'Neutral', 'score': 0.00023456387862097472}","{'label': 'Positive', 'score': 3.1967465474735945e-06}"
"{'label': 'Positive', 'score': 0.9891062378883362}","{'label': 'Neutral', 'score': 0.010893307626247406}","{'label': 'Negative', 'score': 5.044050794822397e-07}"
"{'label': 'Positive', 'score': 0.9998824596405029}","{'label': 'Neutral', 'score': 0.0001173576238215901}","{'label': 'Negative', 'score': 1.3102449258894922e-07}"
"{'label': 'Neutral', 'score': 0.8628300428390503}","{'label': 'Negative', 'score': 0.13716088235378265}","{'label': 'Positive', 'score': 9.06904460862279e-06}"
"{'label': 'Neutral', 'score': 0.9651292562484741}","{'label': 'Negative', 'score': 0.03486577048897743}","{'label': 'Positive', 'score': 4.906890808342723e-06}"
"{'label': 'Negative', 'score': 0.999836802482605}","{'label': 'Neutral', 'score': 0.00010711705544963479}","{'label': 'Positive', 'score': 5.608463106909767e-05}"
