0,1,2
"{'label': 'neutral', 'score': 0.9515514373779297}","{'label': 'negative', 'score': 0.02431294694542885}","{'label': 'positive', 'score': 0.024135639891028404}"
"{'label': 'positive', 'score': 0.5647619366645813}","{'label': 'negative', 'score': 0.41271263360977173}","{'label': 'neutral', 'score': 0.022525405511260033}"
"{'label': 'positive', 'score': 0.8638656735420227}","{'label': 'negative', 'score': 0.11195996403694153}","{'label': 'neutral', 'score': 0.024174435064196587}"
"{'label': 'negative', 'score': 0.9466302990913391}","{'label': 'neutral', 'score': 0.04199645668268204}","{'label': 'positive', 'score': 0.011373166926205158}"
"{'label': 'positive', 'score': 0.8303368091583252}","{'label': 'negative', 'score': 0.10234352946281433}","{'label': 'neutral', 'score': 0.0673196017742157}"
"{'label': 'positive', 'score': 0.8434669971466064}","{'label': 'negative', 'score': 0.132699653506279}","{'label': 'neutral', 'score': 0.02383340150117874}"
"{'label': 'positive', 'score': 0.9039310812950134}","{'label': 'negative', 'score': 0.07591768354177475}","{'label': 'neutral', 'score': 0.020151231437921524}"
"{'label': 'positive', 'score': 0.8977892398834229}","{'label': 'negative', 'score': 0.08149772882461548}","{'label': 'neutral', 'score': 0.020713021978735924}"
"{'label': 'negative', 'score': 0.9621527791023254}","{'label': 'neutral', 'score': 0.030191263183951378}","{'label': 'positive', 'score': 0.0076559754088521}"
"{'label': 'neutral', 'score': 0.5736362934112549}","{'label': 'positive', 'score': 0.4012930691242218}","{'label': 'negative', 'score': 0.025070663541555405}"
"{'label': 'positive', 'score': 0.8949587941169739}","{'label': 'negative', 'score': 0.08476726710796356}","{'label': 'neutral', 'score': 0.020273936912417412}"
"{'label': 'positive', 'score': 0.8696564435958862}","{'label': 'negative', 'score': 0.10995025932788849}","{'label': 'neutral', 'score': 0.020393216982483864}"
"{'label': 'positive', 'score': 0.9074950218200684}","{'label': 'negative', 'score': 0.07218946516513824}","{'label': 'neutral', 'score': 0.02031552605330944}"
"{'label': 'positive', 'score': 0.9030169248580933}","{'label': 'negative', 'score': 0.07680236548185349}","{'label': 'neutral', 'score': 0.020180728286504745}"
"{'label': 'neutral', 'score': 0.906079113483429}","{'label': 'positive', 'score': 0.05269327387213707}","{'label': 'negative', 'score': 0.041227612644433975}"
"{'label': 'neutral', 'score': 0.9363107085227966}","{'label': 'positive', 'score': 0.04298055171966553}","{'label': 'negative', 'score': 0.020708788186311722}"
"{'label': 'neutral', 'score': 0.9347663521766663}","{'label': 'negative', 'score': 0.04566825181245804}","{'label': 'positive', 'score': 0.019565371796488762}"
"{'label': 'neutral', 'score': 0.8892128467559814}","{'label': 'positive', 'score': 0.06972537934780121}","{'label': 'negative', 'score': 0.04106176272034645}"
"{'label': 'positive', 'score': 0.955146849155426}","{'label': 'neutral', 'score': 0.026280270889401436}","{'label': 'negative', 'score': 0.01857287995517254}"
"{'label': 'neutral', 'score': 0.7462236285209656}","{'label': 'negative', 'score': 0.18336743116378784}","{'label': 'positive', 'score': 0.07040891796350479}"
"{'label': 'neutral', 'score': 0.7059664130210876}","{'label': 'negative', 'score': 0.2381265014410019}","{'label': 'positive', 'score': 0.05590705946087837}"
"{'label': 'neutral', 'score': 0.9110620021820068}","{'label': 'positive', 'score': 0.04835396260023117}","{'label': 'negative', 'score': 0.040584027767181396}"
"{'label': 'neutral', 'score': 0.9424282908439636}","{'label': 'positive', 'score': 0.03588808700442314}","{'label': 'negative', 'score': 0.02168361283838749}"
"{'label': 'neutral', 'score': 0.9322919249534607}","{'label': 'positive', 'score': 0.04984032362699509}","{'label': 'negative', 'score': 0.017867689952254295}"
"{'label': 'negative', 'score': 0.9542960524559021}","{'label': 'neutral', 'score': 0.02545604482293129}","{'label': 'positive', 'score': 0.020247824490070343}"
"{'label': 'neutral', 'score': 0.9363107085227966}","{'label': 'positive', 'score': 0.04298055171966553}","{'label': 'negative', 'score': 0.020708788186311722}"
"{'label': 'neutral', 'score': 0.6293830275535583}","{'label': 'positive', 'score': 0.30731040239334106}","{'label': 'negative', 'score': 0.0633065477013588}"
"{'label': 'neutral', 'score': 0.9127659797668457}","{'label': 'positive', 'score': 0.04833976551890373}","{'label': 'negative', 'score': 0.03889421001076698}"
"{'label': 'negative', 'score': 0.9745298624038696}","{'label': 'neutral', 'score': 0.016609687358140945}","{'label': 'positive', 'score': 0.008860442787408829}"
"{'label': 'negative', 'score': 0.9745610356330872}","{'label': 'neutral', 'score': 0.01703900471329689}","{'label': 'positive', 'score': 0.008399942889809608}"
"{'label': 'positive', 'score': 0.57518470287323}","{'label': 'neutral', 'score': 0.39960014820098877}","{'label': 'negative', 'score': 0.025215182453393936}"
"{'label': 'positive', 'score': 0.9337604641914368}","{'label': 'negative', 'score': 0.05044180899858475}","{'label': 'neutral', 'score': 0.015797728672623634}"
"{'label': 'positive', 'score': 0.9493503570556641}","{'label': 'neutral', 'score': 0.0345502607524395}","{'label': 'negative', 'score': 0.016099262982606888}"
"{'label': 'neutral', 'score': 0.9038079977035522}","{'label': 'positive', 'score': 0.08193997293710709}","{'label': 'negative', 'score': 0.014251993037760258}"
"{'label': 'positive', 'score': 0.8775725364685059}","{'label': 'negative', 'score': 0.10241635143756866}","{'label': 'neutral', 'score': 0.020011160522699356}"
"{'label': 'neutral', 'score': 0.9285606741905212}","{'label': 'positive', 'score': 0.037012938410043716}","{'label': 'negative', 'score': 0.03442634642124176}"
"{'label': 'neutral', 'score': 0.9289552569389343}","{'label': 'positive', 'score': 0.042103804647922516}","{'label': 'negative', 'score': 0.028940925374627113}"
"{'label': 'positive', 'score': 0.8096867203712463}","{'label': 'neutral', 'score': 0.17729103565216064}","{'label': 'negative', 'score': 0.013022172264754772}"
"{'label': 'positive', 'score': 0.950458288192749}","{'label': 'negative', 'score': 0.02519703283905983}","{'label': 'neutral', 'score': 0.02434474043548107}"
"{'label': 'neutral', 'score': 0.491410493850708}","{'label': 'positive', 'score': 0.4854711890220642}","{'label': 'negative', 'score': 0.023118292912840843}"
"{'label': 'positive', 'score': 0.869185209274292}","{'label': 'neutral', 'score': 0.11920859664678574}","{'label': 'negative', 'score': 0.01160622388124466}"
"{'label': 'positive', 'score': 0.8577730059623718}","{'label': 'negative', 'score': 0.08388449996709824}","{'label': 'neutral', 'score': 0.05834249034523964}"
"{'label': 'neutral', 'score': 0.6319032311439514}","{'label': 'negative', 'score': 0.32254764437675476}","{'label': 'positive', 'score': 0.045549146831035614}"
"{'label': 'neutral', 'score': 0.9468432664871216}","{'label': 'negative', 'score': 0.028399473056197166}","{'label': 'positive', 'score': 0.024757282808423042}"
"{'label': 'negative', 'score': 0.9735251069068909}","{'label': 'neutral', 'score': 0.01903466321527958}","{'label': 'positive', 'score': 0.007440122775733471}"
"{'label': 'neutral', 'score': 0.8001911044120789}","{'label': 'positive', 'score': 0.1904994696378708}","{'label': 'negative', 'score': 0.009309408254921436}"
"{'label': 'neutral', 'score': 0.9532545804977417}","{'label': 'negative', 'score': 0.023996127769351006}","{'label': 'positive', 'score': 0.02274930849671364}"
"{'label': 'positive', 'score': 0.9503239393234253}","{'label': 'neutral', 'score': 0.035924941301345825}","{'label': 'negative', 'score': 0.013751133345067501}"
"{'label': 'positive', 'score': 0.9469587206840515}","{'label': 'neutral', 'score': 0.027791814878582954}","{'label': 'negative', 'score': 0.025249531492590904}"
"{'label': 'neutral', 'score': 0.7738668918609619}","{'label': 'positive', 'score': 0.1698063313961029}","{'label': 'negative', 'score': 0.05632681027054787}"
"{'label': 'positive', 'score': 0.9401445388793945}","{'label': 'negative', 'score': 0.034515831619501114}","{'label': 'neutral', 'score': 0.02533954381942749}"
"{'label': 'negative', 'score': 0.8968662619590759}","{'label': 'neutral', 'score': 0.08753903210163116}","{'label': 'positive', 'score': 0.015594705939292908}"
"{'label': 'neutral', 'score': 0.9327097535133362}","{'label': 'negative', 'score': 0.04807711020112038}","{'label': 'positive', 'score': 0.019213126972317696}"
"{'label': 'neutral', 'score': 0.9319268465042114}","{'label': 'positive', 'score': 0.03700055554509163}","{'label': 'negative', 'score': 0.031072640791535378}"
"{'label': 'positive', 'score': 0.9557007551193237}","{'label': 'neutral', 'score': 0.024477358907461166}","{'label': 'negative', 'score': 0.019821880385279655}"
"{'label': 'neutral', 'score': 0.8892128467559814}","{'label': 'positive', 'score': 0.06972537934780121}","{'label': 'negative', 'score': 0.04106176272034645}"
"{'label': 'positive', 'score': 0.9526788592338562}","{'label': 'neutral', 'score': 0.026533793658018112}","{'label': 'negative', 'score': 0.020787233486771584}"
"{'label': 'positive', 'score': 0.9511827230453491}","{'label': 'neutral', 'score': 0.03388803079724312}","{'label': 'negative', 'score': 0.014929231256246567}"
"{'label': 'positive', 'score': 0.9399292469024658}","{'label': 'neutral', 'score': 0.047141481190919876}","{'label': 'negative', 'score': 0.012929198332130909}"
"{'label': 'positive', 'score': 0.6093909740447998}","{'label': 'neutral', 'score': 0.3691730797290802}","{'label': 'negative', 'score': 0.021435949951410294}"
"{'label': 'positive', 'score': 0.9440263509750366}","{'label': 'negative', 'score': 0.030903615057468414}","{'label': 'neutral', 'score': 0.02506999485194683}"
"{'label': 'positive', 'score': 0.4658922553062439}","{'label': 'neutral', 'score': 0.4386378824710846}","{'label': 'negative', 'score': 0.09546984732151031}"
"{'label': 'neutral', 'score': 0.9150766134262085}","{'label': 'positive', 'score': 0.04670761898159981}","{'label': 'negative', 'score': 0.038215767592191696}"
"{'label': 'positive', 'score': 0.948213517665863}","{'label': 'neutral', 'score': 0.030221285298466682}","{'label': 'negative', 'score': 0.021565230563282967}"
"{'label': 'neutral', 'score': 0.8157410621643066}","{'label': 'positive', 'score': 0.14856432378292084}","{'label': 'negative', 'score': 0.03569463640451431}"
"{'label': 'neutral', 'score': 0.8157410621643066}","{'label': 'positive', 'score': 0.14856432378292084}","{'label': 'negative', 'score': 0.03569463640451431}"
"{'label': 'negative', 'score': 0.972997784614563}","{'label': 'neutral', 'score': 0.018248694017529488}","{'label': 'positive', 'score': 0.008753526955842972}"
"{'label': 'positive', 'score': 0.8584875464439392}","{'label': 'neutral', 'score': 0.0753650963306427}","{'label': 'negative', 'score': 0.0661473199725151}"
"{'label': 'negative', 'score': 0.9663466811180115}","{'label': 'positive', 'score': 0.02359038032591343}","{'label': 'neutral', 'score': 0.010063006542623043}"
"{'label': 'negative', 'score': 0.9546146988868713}","{'label': 'neutral', 'score': 0.03419852629303932}","{'label': 'positive', 'score': 0.011186769232153893}"
"{'label': 'positive', 'score': 0.9499565958976746}","{'label': 'neutral', 'score': 0.02807796373963356}","{'label': 'negative', 'score': 0.02196541056036949}"
"{'label': 'neutral', 'score': 0.9367560148239136}","{'label': 'positive', 'score': 0.04544016346335411}","{'label': 'negative', 'score': 0.0178038589656353}"
"{'label': 'neutral', 'score': 0.9478322267532349}","{'label': 'negative', 'score': 0.031085839495062828}","{'label': 'positive', 'score': 0.021081937476992607}"
"{'label': 'negative', 'score': 0.9728631377220154}","{'label': 'neutral', 'score': 0.017693597823381424}","{'label': 'positive', 'score': 0.00944326538592577}"
"{'label': 'neutral', 'score': 0.6319032311439514}","{'label': 'negative', 'score': 0.32254764437675476}","{'label': 'positive', 'score': 0.045549146831035614}"
"{'label': 'neutral', 'score': 0.9326545000076294}","{'label': 'positive', 'score': 0.03878041356801987}","{'label': 'negative', 'score': 0.028565119951963425}"
"{'label': 'neutral', 'score': 0.9285606741905212}","{'label': 'positive', 'score': 0.037012938410043716}","{'label': 'negative', 'score': 0.03442634642124176}"
"{'label': 'neutral', 'score': 0.9289552569389343}","{'label': 'positive', 'score': 0.042103804647922516}","{'label': 'negative', 'score': 0.028940925374627113}"
"{'label': 'positive', 'score': 0.8518831729888916}","{'label': 'neutral', 'score': 0.1379469931125641}","{'label': 'negative', 'score': 0.010169796645641327}"
"{'label': 'positive', 'score': 0.9420564770698547}","{'label': 'negative', 'score': 0.04016741365194321}","{'label': 'neutral', 'score': 0.017776064574718475}"
"{'label': 'positive', 'score': 0.7473787665367126}","{'label': 'neutral', 'score': 0.23040202260017395}","{'label': 'negative', 'score': 0.022219166159629822}"
"{'label': 'positive', 'score': 0.8650208711624146}","{'label': 'negative', 'score': 0.11525202542543411}","{'label': 'neutral', 'score': 0.019727127626538277}"
"{'label': 'positive', 'score': 0.5756528377532959}","{'label': 'negative', 'score': 0.40249884128570557}","{'label': 'neutral', 'score': 0.021848326548933983}"
"{'label': 'positive', 'score': 0.5401954650878906}","{'label': 'negative', 'score': 0.4374915659427643}","{'label': 'neutral', 'score': 0.022312993183732033}"
"{'label': 'negative', 'score': 0.6856062412261963}","{'label': 'neutral', 'score': 0.26924389600753784}","{'label': 'positive', 'score': 0.04514983296394348}"
"{'label': 'positive', 'score': 0.9523098468780518}","{'label': 'negative', 'score': 0.028734978288412094}","{'label': 'neutral', 'score': 0.018955131992697716}"
"{'label': 'neutral', 'score': 0.8827099204063416}","{'label': 'positive', 'score': 0.10601017624139786}","{'label': 'negative', 'score': 0.011279905214905739}"
"{'label': 'positive', 'score': 0.9078189134597778}","{'label': 'negative', 'score': 0.0713062509894371}","{'label': 'neutral', 'score': 0.02087489515542984}"
"{'label': 'positive', 'score': 0.8955637812614441}","{'label': 'negative', 'score': 0.08374590426683426}","{'label': 'neutral', 'score': 0.020690269768238068}"
"{'label': 'neutral', 'score': 0.7462238669395447}","{'label': 'positive', 'score': 0.24048300087451935}","{'label': 'negative', 'score': 0.013293126598000526}"
"{'label': 'neutral', 'score': 0.7707667350769043}","{'label': 'positive', 'score': 0.20320908725261688}","{'label': 'negative', 'score': 0.02602420002222061}"
"{'label': 'positive', 'score': 0.8896997570991516}","{'label': 'neutral', 'score': 0.10058620572090149}","{'label': 'negative', 'score': 0.009714129380881786}"
"{'label': 'positive', 'score': 0.9525855183601379}","{'label': 'negative', 'score': 0.028001192957162857}","{'label': 'neutral', 'score': 0.019413255155086517}"
"{'label': 'positive', 'score': 0.9088338017463684}","{'label': 'negative', 'score': 0.07019735872745514}","{'label': 'neutral', 'score': 0.020968805998563766}"
"{'label': 'positive', 'score': 0.8929341435432434}","{'label': 'negative', 'score': 0.08627726137638092}","{'label': 'neutral', 'score': 0.02078859694302082}"
"{'label': 'positive', 'score': 0.9188712239265442}","{'label': 'neutral', 'score': 0.0675869733095169}","{'label': 'negative', 'score': 0.013541760854423046}"
"{'label': 'neutral', 'score': 0.7631460428237915}","{'label': 'positive', 'score': 0.22678910195827484}","{'label': 'negative', 'score': 0.010064885020256042}"
"{'label': 'neutral', 'score': 0.9189257025718689}","{'label': 'positive', 'score': 0.06208976358175278}","{'label': 'negative', 'score': 0.018984559923410416}"
"{'label': 'negative', 'score': 0.9714908599853516}","{'label': 'neutral', 'score': 0.021082762628793716}","{'label': 'positive', 'score': 0.00742640346288681}"
"{'label': 'neutral', 'score': 0.6319032311439514}","{'label': 'negative', 'score': 0.32254764437675476}","{'label': 'positive', 'score': 0.045549146831035614}"
"{'label': 'neutral', 'score': 0.6534820795059204}","{'label': 'positive', 'score': 0.3370322287082672}","{'label': 'negative', 'score': 0.009485655464231968}"
"{'label': 'negative', 'score': 0.9745206832885742}","{'label': 'neutral', 'score': 0.015099753625690937}","{'label': 'positive', 'score': 0.010379482991993427}"
"{'label': 'neutral', 'score': 0.9150720238685608}","{'label': 'positive', 'score': 0.05189721658825874}","{'label': 'negative', 'score': 0.033030714839696884}"
"{'label': 'negative', 'score': 0.9720506072044373}","{'label': 'neutral', 'score': 0.018244365230202675}","{'label': 'positive', 'score': 0.009705095551908016}"
"{'label': 'neutral', 'score': 0.9484283924102783}","{'label': 'negative', 'score': 0.03346759080886841}","{'label': 'positive', 'score': 0.018104001879692078}"
"{'label': 'negative', 'score': 0.8977632522583008}","{'label': 'neutral', 'score': 0.08742724359035492}","{'label': 'positive', 'score': 0.014809604734182358}"
"{'label': 'neutral', 'score': 0.9103848338127136}","{'label': 'positive', 'score': 0.04851028323173523}","{'label': 'negative', 'score': 0.04110487177968025}"
"{'label': 'positive', 'score': 0.5498444437980652}","{'label': 'neutral', 'score': 0.38798952102661133}","{'label': 'negative', 'score': 0.062165986746549606}"
"{'label': 'negative', 'score': 0.9685109853744507}","{'label': 'positive', 'score': 0.018105756491422653}","{'label': 'neutral', 'score': 0.013383262790739536}"
"{'label': 'neutral', 'score': 0.9119230508804321}","{'label': 'positive', 'score': 0.04551558196544647}","{'label': 'negative', 'score': 0.042561307549476624}"
"{'label': 'negative', 'score': 0.8866815567016602}","{'label': 'positive', 'score': 0.08922871947288513}","{'label': 'neutral', 'score': 0.024089669808745384}"
"{'label': 'negative', 'score': 0.868476927280426}","{'label': 'neutral', 'score': 0.07874377071857452}","{'label': 'positive', 'score': 0.05277932435274124}"
"{'label': 'negative', 'score': 0.9722885489463806}","{'label': 'neutral', 'score': 0.018323266878724098}","{'label': 'positive', 'score': 0.009388113394379616}"
"{'label': 'negative', 'score': 0.9209485054016113}","{'label': 'positive', 'score': 0.05774867907166481}","{'label': 'neutral', 'score': 0.02130281738936901}"
"{'label': 'negative', 'score': 0.9024130702018738}","{'label': 'neutral', 'score': 0.0796828344464302}","{'label': 'positive', 'score': 0.017904069274663925}"
"{'label': 'positive', 'score': 0.7889474034309387}","{'label': 'neutral', 'score': 0.18766289949417114}","{'label': 'negative', 'score': 0.02338964119553566}"
"{'label': 'negative', 'score': 0.9681835770606995}","{'label': 'neutral', 'score': 0.02532724291086197}","{'label': 'positive', 'score': 0.006489219143986702}"
"{'label': 'negative', 'score': 0.864215612411499}","{'label': 'positive', 'score': 0.09335099160671234}","{'label': 'neutral', 'score': 0.04243342950940132}"
"{'label': 'positive', 'score': 0.8672560453414917}","{'label': 'neutral', 'score': 0.08000598102807999}","{'label': 'negative', 'score': 0.05273793637752533}"
"{'label': 'neutral', 'score': 0.9150720238685608}","{'label': 'positive', 'score': 0.05189721658825874}","{'label': 'negative', 'score': 0.033030714839696884}"
"{'label': 'negative', 'score': 0.7659534215927124}","{'label': 'neutral', 'score': 0.1902943104505539}","{'label': 'positive', 'score': 0.04375220835208893}"
"{'label': 'neutral', 'score': 0.8966673016548157}","{'label': 'positive', 'score': 0.09415346384048462}","{'label': 'negative', 'score': 0.00917926337569952}"
"{'label': 'positive', 'score': 0.863806426525116}","{'label': 'negative', 'score': 0.11281229555606842}","{'label': 'neutral', 'score': 0.023381276056170464}"
"{'label': 'positive', 'score': 0.541552722454071}","{'label': 'negative', 'score': 0.43659576773643494}","{'label': 'neutral', 'score': 0.02185148000717163}"
"{'label': 'positive', 'score': 0.8341328501701355}","{'label': 'neutral', 'score': 0.15747739374637604}","{'label': 'negative', 'score': 0.00838974304497242}"
"{'label': 'negative', 'score': 0.9649884700775146}","{'label': 'neutral', 'score': 0.025717701762914658}","{'label': 'positive', 'score': 0.00929382536560297}"
"{'label': 'neutral', 'score': 0.8573192358016968}","{'label': 'positive', 'score': 0.12730319797992706}","{'label': 'negative', 'score': 0.015377519652247429}"
"{'label': 'positive', 'score': 0.9418365955352783}","{'label': 'neutral', 'score': 0.0417666956782341}","{'label': 'negative', 'score': 0.01639675535261631}"
"{'label': 'positive', 'score': 0.8122260570526123}","{'label': 'neutral', 'score': 0.18063212931156158}","{'label': 'negative', 'score': 0.007141776382923126}"
"{'label': 'positive', 'score': 0.6590223908424377}","{'label': 'negative', 'score': 0.31862351298332214}","{'label': 'neutral', 'score': 0.02235410548746586}"
"{'label': 'positive', 'score': 0.8431249856948853}","{'label': 'neutral', 'score': 0.12340980768203735}","{'label': 'negative', 'score': 0.03346523642539978}"
"{'label': 'positive', 'score': 0.9070305824279785}","{'label': 'negative', 'score': 0.07393893599510193}","{'label': 'neutral', 'score': 0.019030511379241943}"
"{'label': 'neutral', 'score': 0.6319032311439514}","{'label': 'negative', 'score': 0.32254764437675476}","{'label': 'positive', 'score': 0.045549146831035614}"
"{'label': 'positive', 'score': 0.9497482776641846}","{'label': 'neutral', 'score': 0.02865958958864212}","{'label': 'negative', 'score': 0.021592071279883385}"
"{'label': 'negative', 'score': 0.9748904705047607}","{'label': 'neutral', 'score': 0.018355801701545715}","{'label': 'positive', 'score': 0.006753606256097555}"
"{'label': 'negative', 'score': 0.4940236210823059}","{'label': 'neutral', 'score': 0.4284032881259918}","{'label': 'positive', 'score': 0.0775730162858963}"
"{'label': 'negative', 'score': 0.9723028540611267}","{'label': 'neutral', 'score': 0.021233368664979935}","{'label': 'positive', 'score': 0.006463838741183281}"
"{'label': 'positive', 'score': 0.6046983003616333}","{'label': 'negative', 'score': 0.3727286756038666}","{'label': 'neutral', 'score': 0.02257300727069378}"
"{'label': 'positive', 'score': 0.855768620967865}","{'label': 'negative', 'score': 0.12435035407543182}","{'label': 'neutral', 'score': 0.019881006330251694}"
"{'label': 'negative', 'score': 0.4633818566799164}","{'label': 'positive', 'score': 0.36333540081977844}","{'label': 'neutral', 'score': 0.17328277230262756}"
"{'label': 'negative', 'score': 0.9565980434417725}","{'label': 'neutral', 'score': 0.02674427069723606}","{'label': 'positive', 'score': 0.016657743602991104}"
"{'label': 'negative', 'score': 0.9694285988807678}","{'label': 'neutral', 'score': 0.02039768174290657}","{'label': 'positive', 'score': 0.010173708200454712}"
"{'label': 'negative', 'score': 0.9580868482589722}","{'label': 'neutral', 'score': 0.03315005451440811}","{'label': 'positive', 'score': 0.008763106539845467}"
"{'label': 'negative', 'score': 0.9580868482589722}","{'label': 'neutral', 'score': 0.03315005451440811}","{'label': 'positive', 'score': 0.008763106539845467}"
"{'label': 'neutral', 'score': 0.6319032311439514}","{'label': 'negative', 'score': 0.32254764437675476}","{'label': 'positive', 'score': 0.045549146831035614}"
"{'label': 'negative', 'score': 0.7860684990882874}","{'label': 'neutral', 'score': 0.16940075159072876}","{'label': 'positive', 'score': 0.044530730694532394}"
"{'label': 'neutral', 'score': 0.6319032311439514}","{'label': 'negative', 'score': 0.32254764437675476}","{'label': 'positive', 'score': 0.045549146831035614}"
"{'label': 'neutral', 'score': 0.7214303612709045}","{'label': 'positive', 'score': 0.2653347849845886}","{'label': 'negative', 'score': 0.01323489099740982}"
"{'label': 'neutral', 'score': 0.7625154852867126}","{'label': 'negative', 'score': 0.1779702603816986}","{'label': 'positive', 'score': 0.05951427295804024}"
